userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName
b5fc3348L15de448b45ab9f4e2bd5375ace74,us,2024-01-01 21:56:59+00:00,16,iphone12,True,BPHN71523003729370,adGroupName 24,trackerName 25,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
821d3348L47ed38ce4d2baf4bcb5860737bd0,us,2024-01-01 02:23:29+00:00,16,iphonexr,True,MCHC92137559103516,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
93363348L140bed514be08245629f95733e9c,us,2024-01-01 22:57:12+00:00,16.0.2,iphone11,True,JPYZ13370455456817,adGroupName 20,trackerName 21,channel 5,campaign 10,creative 12,ios,2024-01-01,United States
28893348Ldd59e8b04095a950da7261c76558,us,2024-01-01 19:44:02+00:00,16.1.1,iphone13,True,IWVA46131388067157,adGroupName 46,trackerName 48,channel 9,campaign 18,creative 27,ios,2024-01-01,United States
d1f23348Lb4d35331402e8a5e050c0a81b715,us,2024-01-01 04:00:49+00:00,16.1.2,iphone13,True,QOJL50219026112760,adGroupName 47,trackerName 49,channel 9,campaign 18,creative 29,ios,2024-01-01,United States
78363348L44b8fa184123b61a57383e77d90b,us,2024-01-01 18:01:48+00:00,16.3,iphone12,False,ZRMY11524621773580,adGroupName 64,trackerName 68,channel 10,campaign 23,creative 39,ios,2024-01-01,United States
742d3348L2303cbc147a9b7d5d5e2d2c8bb5e,us,2024-01-01 17:04:45+00:00,16.3.1,ipad(10thgen),True,BFMJ72784068177185,adGroupName 75,trackerName 79,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
4bef3348L5ba54c324032a0afb7aae4af82f5,us,2024-01-01 07:46:52+00:00,16.3.1,iphone13,True,OZGB49454984677191,adGroupName 70,trackerName 74,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
2c013348Lfb9e1e924c0dabbc8e5a020517cc,us,2024-01-01 19:30:11+00:00,16.6,ipad(9thgen),True,YGAL20682601452885,adGroupName 66,trackerName 70,channel 10,campaign 23,creative 39,ios,2024-01-01,United States
c7003348Ld6361ef440828eb5bc7a02095da3,us,2024-01-01 05:48:35+00:00,16.6,iphonexr,True,FQTH73741289474596,adGroupName 65,trackerName 69,channel 10,campaign 23,creative 39,ios,2024-01-01,United States
