report_day,country_code,country_name,os_name,channel,campaign,creative,network_clicks,network_impressions,network_installs,installs,network_installs_diff,cost
2024-01-01,us,United States,ios,channel 2,campaign 13,creative 75,279,187850,18,0,18,72.6292
2024-01-01,us,United States,ios,channel 2,campaign 13,creative 76,146,28002,3,0,3,12.8195
2024-01-01,us,United States,ios,channel 2,campaign 13,creative 8,8,1978,1,0,1,1.6005
2024-01-01,us,United States,ios,channel 3,campaign 15,creative 13,4426,5260,22,0,22,71.4
2024-01-01,us,United States,ios,channel 3,campaign 19,creative 17,340,473,2,1,1,23.9661
2024-01-01,us,United States,ios,channel 3,campaign 20,creative 18,1327,1956,5,0,5,40.4404
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 21,336,82931,0,55,55,590.34
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 22,41,6834,0,12,12,71.15
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 23,1,171,0,0,0,2.38
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 24,1,287,0,0,0,0.97
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 25,21,5722,0,5,5,43.14
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 26,7,1953,0,2,2,17.57
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 27,2,339,0,0,0,2.35
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 28,0,235,0,0,0,0.66
2024-01-01,us,United States,ios,channel 4,campaign 22,creative 29,47,8149,0,5,5,112.29
2024-01-01,us,United States,ios,channel 5,campaign 24,creative 33,523,1172,8,8,0,42.4403
2024-01-01,us,United States,ios,channel 5,campaign 24,creative 34,1785,5323,14,14,0,70.8688
2024-01-01,us,United States,ios,channel 5,campaign 24,creative 35,1778,6776,25,25,0,117.9043
2024-01-01,us,United States,ios,channel 5,campaign 24,creative 37,1391,2429,3,3,0,14.6545
2024-01-01,us,United States,ios,channel 6,campaign 25,creative 38,615,6166,33,33,0,294.8705
2024-01-01,us,United States,ios,channel 6,campaign 25,creative 41,69,692,1,1,0,6.2267
2024-01-01,us,United States,ios,channel 6,campaign 25,creative 46,144,1566,4,4,0,27.8228
2024-01-01,us,United States,ios,channel 6,campaign 29,creative 38,329,2292,7,8,1,33.8249
2024-01-01,us,United States,ios,channel 7,campaign 30,creative 47,64,4845,9,1,8,151.38
2024-01-01,us,United States,ios,channel 7,campaign 30,creative 48,91,11632,14,4,10,185.09
2024-01-01,us,United States,ios,channel 7,campaign 30,creative 49,0,40,0,0,0,1.67
2024-01-01,us,United States,ios,channel 7,campaign 30,creative 50,42,1969,3,0,3,70.36
2024-01-01,us,United States,ios,channel 7,campaign 30,creative 51,31,3920,5,1,4,103.89
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 54,3566,3676,15,16,1,69.534
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 67,3949,4107,21,23,2,105.8981
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 68,4452,4547,17,20,3,98.87
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 69,66127,67097,403,407,4,2211.1505
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 70,2439,2509,18,18,0,89.6869
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 71,2533,2677,10,10,0,55.5461
2024-01-01,us,United States,ios,channel 8,campaign 36,creative 72,3371,3457,16,16,0,67.8716
