userId,countryCode_x,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName_installs,amount,adUnitFormat,adUnitName,advertisingId,countryCode_y,countryName_revenue,createdAt,createdDate,deviceId,eventId,network,packageName,platform,source,eventCount,_merge
9d4d3348L68846a72411c83a252649517ee80,us,2024-01-01 22:40:22+00:00,15.8,iphone6splus,True,TCDS47394381550754,adGroupName 29,trackerName 30,channel 7,campaign 13,creative 15,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
7b783348Lc4ffdec3414c98e9299c4227bc8d,us,2024-01-01 07:26:38+00:00,16,iphone13promax,True,VFJF33087127097152,adGroupName 19,trackerName 20,channel 5,campaign 10,creative 11,ios,2024-01-01,United States,0.0124,adUnitFormat 2,adUnitName 6,WGEY10102096538815,us,United States,"[Timestamp('2024-01-01 07:28:42.215510+0000', tz='UTC'), Timestamp('2024-01-01 07:29:50.367995+0000', tz='UTC'), Timestamp('2024-01-01 07:31:18.217940+0000', tz='UTC'), Timestamp('2024-01-01 07:32:08.441643+0000', tz='UTC'), Timestamp('2024-01-01 07:32:35.823826+0000', tz='UTC'), Timestamp('2024-01-01 07:34:31.641892+0000', tz='UTC'), Timestamp('2024-01-01 07:36:43.110394+0000', tz='UTC')]",2024-01-01,GPQK25514793922045,"['TWTM29456593603733', 'XWIA11031523182854', 'OJFV10897302051211', 'AEGS64122583253942', 'YEUT75730981937892', 'TRVV58035720076715', 'TXRM37222126480273']","['network 3', 'network 4']",packageName 2,ios,source 1,7,both
b5fc3348L15de448b45ab9f4e2bd5375ace74,us,2024-01-01 21:56:59+00:00,16,iphone12,True,BPHN71523003729370,adGroupName 24,trackerName 25,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
821d3348L47ed38ce4d2baf4bcb5860737bd0,us,2024-01-01 02:23:29+00:00,16,iphonexr,True,MCHC92137559103516,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
93363348L140bed514be08245629f95733e9c,us,2024-01-01 22:57:12+00:00,16.0.2,iphone11,True,JPYZ13370455456817,adGroupName 20,trackerName 21,channel 5,campaign 10,creative 12,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
28893348Ldd59e8b04095a950da7261c76558,us,2024-01-01 19:44:02+00:00,16.1.1,iphone13,True,IWVA46131388067157,adGroupName 46,trackerName 48,channel 9,campaign 18,creative 27,ios,2024-01-01,United States,0.000111,adUnitFormat 2,adUnitName 8,MVNH76971032880472,us,United States,"[Timestamp('2024-01-01 21:16:46.422220+0000', tz='UTC')]",2024-01-01,BUUG42936796274954,LGVM54139387532893,network 12,packageName 3,ios,source 1,1,both
d1f23348Lb4d35331402e8a5e050c0a81b715,us,2024-01-01 04:00:49+00:00,16.1.2,iphone13,True,QOJL50219026112760,adGroupName 47,trackerName 49,channel 9,campaign 18,creative 29,ios,2024-01-01,United States,0.001,adUnitFormat 2,adUnitName 6,MVNH76971032880472,us,United States,"[Timestamp('2024-01-01 04:02:59.814124+0000', tz='UTC')]",2024-01-01,YRXA02672446259865,UDEI14486708707552,network 3,packageName 2,ios,source 1,1,both
78363348L44b8fa184123b61a57383e77d90b,us,2024-01-01 18:01:48+00:00,16.3,iphone12,False,ZRMY11524621773580,adGroupName 64,trackerName 68,channel 10,campaign 23,creative 39,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
742d3348L2303cbc147a9b7d5d5e2d2c8bb5e,us,2024-01-01 17:04:45+00:00,16.3.1,ipad(10thgen),True,BFMJ72784068177185,adGroupName 75,trackerName 79,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
4bef3348L5ba54c324032a0afb7aae4af82f5,us,2024-01-01 07:46:52+00:00,16.3.1,iphone13,True,OZGB49454984677191,adGroupName 70,trackerName 74,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
2c013348Lfb9e1e924c0dabbc8e5a020517cc,us,2024-01-01 19:30:11+00:00,16.6,ipad(9thgen),True,YGAL20682601452885,adGroupName 66,trackerName 70,channel 10,campaign 23,creative 39,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
c7003348Ld6361ef440828eb5bc7a02095da3,us,2024-01-01 05:48:35+00:00,16.6,iphonexr,True,FQTH73741289474596,adGroupName 65,trackerName 69,channel 10,campaign 23,creative 39,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
80ca3348Lfd5a3967456595b7a2a7e0a6a00b,us,2024-01-01 14:04:41+00:00,16.6,ipad(9thgen),True,CNVW17048970875657,adGroupName 74,trackerName 78,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
69aa3348L41fcbae6424f8f448d7e7612254b,us,2024-01-01 17:06:15+00:00,16.6,iphone11,True,TVXD31771999351402,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
4f893348Ld00660434c769e2b9ccc4ecb21df,us,2024-01-01 11:20:54+00:00,16.6,iphonexs,True,GCFY14521415903166,adGroupName 40,trackerName 42,channel 9,campaign 18,creative 26,ios,2024-01-01,United States,0.018725853999999997,"['adUnitFormat 2', 'adUnitFormat 3']","['adUnitName 6', 'adUnitName 8', 'adUnitName 7']","['MVNH76971032880472', 'GJID88678989481239']",us,United States,"[Timestamp('2024-01-01 11:23:14.446523+0000', tz='UTC'), Timestamp('2024-01-01 21:17:01.002377+0000', tz='UTC'), Timestamp('2024-01-01 21:17:15.074989+0000', tz='UTC'), Timestamp('2024-01-01 21:17:29.022805+0000', tz='UTC'), Timestamp('2024-01-01 21:17:32.685466+0000', tz='UTC'), Timestamp('2024-01-01 21:19:39.075387+0000', tz='UTC')]",2024-01-01,GZCO51927861431594,"['YTVK20378471798861', 'KEGY36404722761477', 'GXRY93854891307476', 'GHTZ53424153921473', 'VXFX92649370714634', 'BYLF60968678654464']","['network 3', 'network 8', 'network 1', 'network 4']","['packageName 2', 'packageName 3']",ios,source 1,6,both
bf8c3348L7adbc83f4043ad28a800aa5e8dbb,us,2024-01-01 17:17:23+00:00,16.6,iphonese(2ndgeneration),True,GMNI86068832982542,adGroupName 30,trackerName 31,channel 7,campaign 13,creative 16,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
dd5e3348Lca05b66647fcb4e80836197d8b8c,us,2024-01-01 17:21:23+00:00,16.6,iphonexs,True,AXDT42740737805822,adGroupName 68,trackerName 72,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
f4533348L6deb7d4c4da58daee9b4c8a270eb,us,2024-01-01 19:55:31+00:00,16.6,iphone13,True,UHIY40550534024780,adGroupName 41,trackerName 43,channel 9,campaign 18,creative 27,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
32713348L5f9a484f4f32bcdc7e3bbd7bd62d,us,2024-01-01 20:17:55+00:00,16.6.1,iphone13pro,True,UCZL65680032305500,adGroupName 71,trackerName 75,channel 6,campaign 25,creative 41,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
87ea3348L9dcc20334e2b8309bd2ab651c664,us,2024-01-01 19:24:55+00:00,16.7.2,ipadpro(9.7),True,EKZS78116421449202,adGroupName 72,trackerName 76,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
41f83348L8451459c4dea9f20ae7de35d1d3c,us,2024-01-01 00:17:25+00:00,16.7.2,iphone8,True,FYIK64388967970447,adGroupName 76,trackerName 80,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
08603348Lf1ccd58d471db788afc8b4b26af0,us,2024-01-01 00:41:44+00:00,17.0.2,iphonexr,True,SHJN20694460348993,adGroupName 73,trackerName 77,channel 6,campaign 24,creative 42,ios,2024-01-01,United States,0.115277148,"['adUnitFormat 3', 'adUnitFormat 2']","['adUnitName 7', 'adUnitName 8', 'adUnitName 18']",WHTG32858174869758,us,United States,"[Timestamp('2024-01-01 01:16:54.888996+0000', tz='UTC'), Timestamp('2024-01-01 01:20:10.546679+0000', tz='UTC'), Timestamp('2024-01-01 01:25:34.046271+0000', tz='UTC'), Timestamp('2024-01-01 01:28:09.534343+0000', tz='UTC'), Timestamp('2024-01-01 01:54:45.470410+0000', tz='UTC'), Timestamp('2024-01-01 04:32:28.254543+0000', tz='UTC'), Timestamp('2024-01-01 04:36:33.437742+0000', tz='UTC')]",2024-01-01,XGTT77524482245241,"['YVHD02161867918500', 'IBTA21881429797948', 'PBTJ67176203543951', 'KKQD12412988477374', 'DLEI88647377664341', 'CLYK42709690713879', 'PXLI66724435298042']","['network 5', 'network 1']","['packageName 3', 'packageName 4']",ios,source 1,7,both
812d3348Lad2093644ef09f377cadef2b7426,us,2024-01-01 01:50:33+00:00,17.0.3,iphone15,True,UXXD96842211606760,adGroupName 27,trackerName 28,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
12113348Lcf1116d84663bf77d3c61f856c04,us,2024-01-01 23:28:13+00:00,17.0.3,iphone12mini,False,WUOE82945139732406,adGroupName 62,trackerName 66,channel 10,campaign 23,creative 39,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
42b43348Lecb383fc4277b670649fdb17bce1,us,2024-01-01 16:37:45+00:00,17.0.3,iphone12,True,XLYC27464268363065,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
53523348L828abf9744cb8b4249ff31eea33c,us,2024-01-01 08:52:09+00:00,17.1,iphone15plus,True,NFDR01972641061440,adGroupName 42,trackerName 44,channel 9,campaign 18,creative 28,ios,2024-01-01,United States,0.00635,adUnitFormat 2,adUnitName 6,MVNH76971032880472,us,United States,"[Timestamp('2024-01-01 09:00:13.503502+0000', tz='UTC'), Timestamp('2024-01-01 09:06:32.106583+0000', tz='UTC'), Timestamp('2024-01-01 09:15:41.471601+0000', tz='UTC'), Timestamp('2024-01-01 09:16:30.158610+0000', tz='UTC'), Timestamp('2024-01-01 08:54:38.985543+0000', tz='UTC'), Timestamp('2024-01-01 08:56:39.044289+0000', tz='UTC'), Timestamp('2024-01-01 08:56:48.026298+0000', tz='UTC')]",2024-01-01,ACDA57658100519826,"['JQTN87001498668748', 'EWSN72840819551207', 'GCPR21537322195273', 'MQXW26377419813586', 'QGWS20862736349433', 'GKMC98190682220513', 'XGDK69153179433528']","['network 3', 'network 4']",packageName 2,ios,source 1,7,both
84d63348Le24796af401dbc387832dd9678de,us,2024-01-01 08:33:35+00:00,17.1.1,iphone15promax,False,QRKO19074758967073,adGroupName 35,trackerName 37,channel 4,campaign 16,creative 22,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
a5e23348L2fdde43748d1a4dfd1f6c62fcc57,us,2024-01-01 02:53:04+00:00,17.1.1,iphone11,True,NJYS04600953054159,adGroupName 28,trackerName 29,channel 7,campaign 12,creative 14,ios,2024-01-01,United States,0.012277541000000001,"['adUnitFormat 3', 'adUnitFormat 2']","['adUnitName 7', 'adUnitName 8']",MVNH76971032880472,us,United States,"[Timestamp('2024-01-01 21:18:48.588305+0000', tz='UTC'), Timestamp('2024-01-01 21:19:44.928552+0000', tz='UTC'), Timestamp('2024-01-01 21:20:05.691041+0000', tz='UTC')]",2024-01-01,CIGH99074470471404,"['LXQV76398568414482', 'UGGS97740545800683', 'IUCO28598848149915']","['network 11', 'network 13']",packageName 3,ios,source 1,3,both
d2893348Le17a7e674f7cbe9ebbc6493aa115,us,2024-01-01 23:44:09+00:00,17.1.1,iphonese(3rdgeneration),True,SSDA52295268910889,adGroupName 21,trackerName 22,channel 5,campaign 10,creative 12,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
97fd3348Lf4a368b440698a7810287f425eff,us,2024-01-01 03:03:24+00:00,17.1.1,iphone12pro,True,SXUM86728597111694,adGroupName 77,trackerName 81,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
db033348Lbc996cac42d2b7fc270fd49e42c0,us,2024-01-01 17:04:54+00:00,17.1.2,iphone12mini,True,RPTT11856856256407,adGroupName 79,trackerName 83,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
62fa3348L028b5744456b813e2b687e70b3c0,us,2024-01-01 03:19:45+00:00,17.1.2,iphonese(3rdgeneration),True,NBGI53408663890799,adGroupName 22,trackerName 23,channel 5,campaign 10,creative 12,ios,2024-01-01,United States,0.0013039549999999999,adUnitFormat 2,adUnitName 8,QEKI53215084108534,us,United States,"[Timestamp('2024-01-01 04:43:41.436288+0000', tz='UTC'), Timestamp('2024-01-01 04:44:40.241375+0000', tz='UTC'), Timestamp('2024-01-01 04:45:09.786756+0000', tz='UTC')]",2024-01-01,KRCI02193612986406,"['UWRL66398662480463', 'CSKK21881059013907', 'NFWI04111654564349']",network 5,packageName 3,ios,source 1,3,both
4c993348L952c25104ce9b8011d6eef335364,us,2024-01-01 08:02:29+00:00,17.1.2,iphone12,True,YXGX82997455059970,adGroupName 78,trackerName 82,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
f5773348L7cd788794c25a4797f96e8acd38e,us,2024-01-01 17:06:05+00:00,17.1.2,iphone15,True,WKMA40630588865950,adGroupName 80,trackerName 84,channel 3,campaign 26,creative 6,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
8c6d3348L712fea8344339d7558f9ee3bff9a,us,2024-01-01 11:00:51+00:00,17.2,iphone14promax,True,KIDC87584521026972,adGroupName 57,trackerName 60,channel 10,campaign 23,creative 39,ios,2024-01-01,United States,,,,,,,,,,,,,,,0,left_only
