report_day,country_code,os_name,network_clicks,network_impressions,network_installs,network_installs_diff,installs,cost,channel,campaign,creative
2024-01-01,es,android,201,406,1,0,1,0.8771,channel 8,campaign 31,creative 62
2024-01-01,us,android,73,198,1,0,1,10.1643,channel 8,campaign 32,creative 63
2024-01-01,pl,android,400,215914,1,0,1,0.7338,channel 8,campaign 34,creative 64
2024-01-01,de,android,1,31,1,0,1,4.1071,channel 8,campaign 35,creative 65
2024-01-01,it,android,19,42,1,0,1,1.6461,channel 8,campaign 35,creative 66
2024-01-01,us,ios,3566,3676,15,1,16,69.534,channel 8,campaign 36,creative 54
2024-01-01,us,ios,3949,4107,21,2,23,105.8981,channel 8,campaign 36,creative 67
2024-01-01,us,ios,4452,4547,17,3,20,98.87,channel 8,campaign 36,creative 68
2024-01-01,us,ios,66127,67097,403,4,407,2211.1505,channel 8,campaign 36,creative 69
2024-01-01,us,ios,2439,2509,18,0,18,89.6869,channel 8,campaign 36,creative 70
2024-01-01,us,ios,2533,2677,10,0,10,55.5461,channel 8,campaign 36,creative 71
2024-01-01,us,ios,3371,3457,16,0,16,67.8716,channel 8,campaign 36,creative 72
2024-01-01,de,android,0,82,0,0,0,0.0,channel 9,campaign 37,creative 1
2024-01-01,de,android,0,5,0,0,0,0.0,channel 9,campaign 38,creative 1
2024-01-01,de,android,0,88,0,0,0,10.845,channel 9,campaign 39,creative 1
2024-01-01,us,ios,0,0,0,71,71,0.0,channel 10,campaign 40,creative 73
2024-01-01,ng,ios,0,0,0,1,1,0.0,channel 10,campaign 40,creative 74
2024-01-01,us,ios,0,0,0,16,16,0.0,channel 10,campaign 40,creative 74
2024-01-01,us,android,0,0,0,79,79,0.0,channel 10,campaign 41,creative 73
2024-01-01,pl,android,0,0,0,1,1,0.0,channel 10,campaign 41,creative 74
2024-01-01,us,android,0,0,0,75,75,0.0,channel 10,campaign 41,creative 74
2024-01-01,nl,android,281,16164,290,290,0,259.8395,channel 1,campaign 42,creative 1
2024-01-01,pl,android,2817,209635,3871,3871,0,1387.1348,channel 1,campaign 4,creative 1
2024-01-01,de,android,1252,81611,2032,2032,0,1709.1097,channel 1,campaign 43,creative 1
2024-01-01,es,android,2902,226980,2366,2366,0,1392.9466,channel 1,campaign 44,creative 1
2024-01-01,us,ios,279,187850,18,18,0,72.6292,channel 2,campaign 13,creative 75
2024-01-01,us,ios,412,262248,25,25,0,101.7505,channel 2,campaign 12,creative 75
2024-01-01,us,ios,95,17787,4,4,0,8.4192,channel 2,campaign 12,creative 76
2024-01-01,us,ios,146,28002,3,3,0,12.8195,channel 2,campaign 13,creative 76
2024-01-01,us,ios,265,173740,16,16,0,67.4632,channel 2,campaign 12,creative 77
