userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,googleAdId,idfa,idfv
47123348Ld7f16c70403f8e1affdb1332931e,ca,2024-01-01 17:23:46.000000 UTC,9,galaxya50,FALSE,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,TLUV25481018293147,,
06c53348Lb7f6262c4261a5b7340f301f4a92,au,2024-01-01 01:22:50.000000 UTC,9,galaxytaba(2017),FALSE,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,VNSA39644876747171,,
e2743348L699571fa4fd9b4f7e8b3c5720df0,de,2024-01-01 03:29:45.000000 UTC,9,y5(2019),FALSE,GAZL00570149805783,adGroupName 3,trackerName 3,channel 1,campaign 3,creative 2,android,FQUT15816053221647,,
d8923348L4d9b4e674e469b1cb7faa12869f4,us,2024-01-01 18:04:17.000000 UTC,9,galaxys8active,FALSE,VQZE64662082917175,adGroupName 4,trackerName 4,channel 1,campaign 2,creative 3,android,WBXA01967468887151,,
4b253348L425fcba2462695f699e27870a6b5,us,2024-01-01 16:18:22.000000 UTC,9,journeylte,FALSE,RCHZ07124631299886,adGroupName 5,trackerName 5,channel 2,campaign 4,creative 4,android,XNSG49174020190706,,
4fdc3348L2faf4e284eb9adb5be1b07a6986d,us,2024-01-01 21:33:33.000000 UTC,9,legacy,TRUE,MCCX57851778477919,adGroupName 5,trackerName 5,channel 2,campaign 4,creative 4,android,,,
b6213348Lf67fa1504199ac6968267493874e,es,2024-01-01 21:57:04.000000 UTC,9,galaxys8,FALSE,GKCF16655804558808,adGroupName 6,trackerName 6,channel 2,campaign 5,creative 5,android,XHCD81197482484280,,
e2d63348Lce62a8024ac89653ae4ce11d721a,es,2024-01-01 16:43:59.000000 UTC,9,redminote8,FALSE,GRXL72868186481877,adGroupName 7,trackerName 7,channel 2,campaign 5,creative 5,android,CMUL24935384593490,,
116a3348L8225d8254093a3f919c797bc2831,us,2024-01-01 20:33:32.000000 UTC,9,u693cl,FALSE,QGNK27406694887597,adGroupName 8,trackerName 8,channel 3,campaign 6,creative 6,android,MUPM86349957295526,,
8c5b3348L84686c3247fe9a1bab09c80621f8,us,2024-01-01 09:45:09.000000 UTC,9,galaxyj7crown,FALSE,LAJQ87967880944474,adGroupName 9,trackerName 9,channel 3,campaign 6,creative 6,android,GPEL03123350147951,,
899f3348Lb6ff9f70416e9ad0929c38167708,us,2024-01-01 01:14:27.000000 UTC,9,galaxys8active,FALSE,IVCM96549977853590,adGroupName 10,trackerName 10,channel 3,campaign 6,creative 7,android,KANE43141898329599,,
73e93348L2c3dab404254965052161473085e,us,2024-01-01 12:01:16.000000 UTC,10,galaxys9plus,FALSE,CZAX74339463878136,adGroupName 11,trackerName 11,channel 3,campaign 6,creative 7,android,VVQY34800259237595,,
9f3b3348Lfc6d6a144388ae0c4768b54c79ca,us,2024-01-01 01:11:23.000000 UTC,9,galaxys8,FALSE,MUJU91991664314739,adGroupName 12,trackerName 12,channel 4,campaign 7,creative 8,android,XVXR59251051690574,,
0ac43348Lb2590e4a4120bb37be16490fe691,us,2024-01-01 12:43:48.000000 UTC,11,view2,FALSE,AFGB27882138198715,adGroupName 13,trackerName 13,channel 4,campaign 7,creative 8,android,CKMR33226610195561,,
ffd13348L9f19f0e94b21bb326af44dc1c4ca,us,2024-01-01 07:54:09.000000 UTC,11,galaxya50,FALSE,SKBG67451305725312,adGroupName 14,trackerName 14,channel 4,campaign 7,creative 8,android,FNOG95464657996587,,
c4d53348L5beacdf34aa69d8b170f529e9bf3,us,2024-01-01 18:45:31.000000 UTC,12,m8l2022,FALSE,NIES97519456130857,adGroupName 15,trackerName 15,channel 4,campaign 7,creative 9,android,OQZN70361271816407,,
4b333348Ld2fc847d47de8d61e84cb236e393,us,2024-01-01 12:33:36.000000 UTC,12,motogplay2023,FALSE,GADI72009909627061,adGroupName 16,trackerName 16,channel 4,campaign 7,creative 8,android,JNIY50616530885756,,
c7e93348L6d40ccf4454592eb936cf807b644,us,2024-01-01 15:19:09.000000 UTC,13,motog5g(2022),FALSE,DPZG44185406614965,adGroupName 17,trackerName 17,channel 4,campaign 7,creative 8,android,PLCW37866961621073,,
f07c3348La0e2f03549a3bb0dc20a5089b9d7,us,2024-01-01 18:16:06.000000 UTC,14.4,iphone6s,FALSE,NPQH80532080462784,adGroupName 18,trackerName 18,channel 1,campaign 8,creative 10,ios,,CVEE97636821293388,ZURE35708280935127
c2e33348L5b93c3514c96a1a0b67589c0a8bc,us,2024-01-01 17:03:35.000000 UTC,14.7,iphone6s,FALSE,TOGG80045912099594,adGroupName 18,trackerName 18,channel 1,campaign 8,creative 10,ios,,GOZF88926758777978,IVIX71139512292586
b2bc3348L34e0c8f3418c8f15714e061cc694,us,2024-01-01 12:12:47.000000 UTC,14.4,iphone7,FALSE,KSBU54768596469279,adGroupName 18,trackerName 19,channel 1,campaign 9,creative 10,ios,,KGRS38368720371749,OGTJ20038567643648
7b783348Lc4ffdec3414c98e9299c4227bc8d,us,2024-01-01 07:26:38.000000 UTC,16,iphone13promax,TRUE,VFJF33087127097152,adGroupName 19,trackerName 20,channel 5,campaign 10,creative 11,ios,,,NMVS94690412948859
93363348L140bed514be08245629f95733e9c,us,2024-01-01 22:57:12.000000 UTC,16.0.2,iphone11,TRUE,JPYZ13370455456817,adGroupName 20,trackerName 21,channel 5,campaign 10,creative 12,ios,,,QCES08316608784550
d2893348Le17a7e674f7cbe9ebbc6493aa115,us,2024-01-01 23:44:09.000000 UTC,17.1.1,iphonese(3rdgeneration),TRUE,SSDA52295268910889,adGroupName 21,trackerName 22,channel 5,campaign 10,creative 12,ios,,,TBNC32984758736644
62fa3348L028b5744456b813e2b687e70b3c0,us,2024-01-01 03:19:45.000000 UTC,17.1.2,iphonese(3rdgeneration),TRUE,NBGI53408663890799,adGroupName 22,trackerName 23,channel 5,campaign 10,creative 12,ios,,,HESM54830628049589
31593348Le3c97afc4eb19dd18746de1075c7,us,2024-01-01 05:54:35.000000 UTC,15.2,ipad,TRUE,VJYG25848456447922,adGroupName 23,trackerName 24,channel 6,campaign 11,creative 13,ios,,,WUPH29248532311304
b5fc3348L15de448b45ab9f4e2bd5375ace74,us,2024-01-01 21:56:59.000000 UTC,16,iphone12,TRUE,BPHN71523003729370,adGroupName 24,trackerName 25,channel 6,campaign 11,creative 13,ios,,,KROV69037198222744
69aa3348L41fcbae6424f8f448d7e7612254b,us,2024-01-01 17:06:15.000000 UTC,16.6,iphone11,TRUE,TVXD31771999351402,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,,,WBDC47082858917242
b5da3348L3c468eac472fa64d0df5b8aa51ed,us,2024-01-01 17:23:58.000000 UTC,17.3,ipadpro,TRUE,ENEI15490798525121,adGroupName 26,trackerName 27,channel 6,campaign 11,creative 13,ios,,,KZBM93681567835221
812d3348Lad2093644ef09f377cadef2b7426,us,2024-01-01 01:50:33.000000 UTC,17.0.3,iphone15,TRUE,UXXD96842211606760,adGroupName 27,trackerName 28,channel 6,campaign 11,creative 13,ios,,,DYEL61602070868677
78dc3348Ld387ad974a12a53670830f229e0b,us,2024-01-01 08:16:39.000000 UTC,15.1,iphonexr,TRUE,JNXJ94935737491930,adGroupName 28,trackerName 29,channel 7,campaign 12,creative 14,ios,,,GESZ04121911201826
9d4d3348L68846a72411c83a252649517ee80,us,2024-01-01 22:40:22.000000 UTC,15.8,iphone6splus,TRUE,TCDS47394381550754,adGroupName 29,trackerName 30,channel 7,campaign 13,creative 15,ios,,,JYRC79826390858479
bf8c3348L7adbc83f4043ad28a800aa5e8dbb,us,2024-01-01 17:17:23.000000 UTC,16.6,iphonese(2ndgeneration),TRUE,GMNI86068832982542,adGroupName 30,trackerName 31,channel 7,campaign 13,creative 16,ios,,,YHSB12037694460335
6dfc3348Lfb7c62ba4787ba33b4f974f06d11,us,2024-01-01 13:04:42.000000 UTC,17.3,iphone11,TRUE,HCUY86380913361191,adGroupName 31,trackerName 32,channel 7,campaign 12,creative 17,ios,,,ZDKJ72116441157064
a5e23348L2fdde43748d1a4dfd1f6c62fcc57,us,2024-01-01 02:53:04.000000 UTC,17.1.1,iphone11,TRUE,NJYS04600953054159,adGroupName 28,trackerName 29,channel 7,campaign 12,creative 14,ios,,,TKIE60599971775493
e4c73348L83dc14c34976bb7b9d929e2a6fe4,us,2024-01-01 06:45:53.000000 UTC,9,100005208,FALSE,ZAPD60861269324954,adGroupName 32,trackerName 33,channel 7,campaign 14,creative 18,android,TIFD41791271132193,,
8ad13348L374d272d45a38322ca88c9f87bec,us,2024-01-01 11:21:47.000000 UTC,11,one5gace,FALSE,TSZF57696229659748,adGroupName 32,trackerName 34,channel 7,campaign 14,creative 19,android,LVSX76727710218118,,
9ca03348Lcd02534e493d8f2af2abb69bcdaf,us,2024-01-01 14:34:55.000000 UTC,13,galaxya535g,FALSE,LNPT71166986878750,adGroupName 32,trackerName 34,channel 7,campaign 14,creative 19,android,OBNT22079356532312,,
92503348L0e84d1724c99809fa15d254968d7,us,2024-01-01 22:19:45.000000 UTC,13,galaxynote20ultra5g,FALSE,BVNO84503180650921,adGroupName 33,trackerName 35,channel 7,campaign 14,creative 20,android,UGNS46063470836630,,
81023348L1d36fd3e4515a59ce3829a0f475a,us,2024-01-01 20:11:06.000000 UTC,13,galaxya135g,FALSE,KDCK27889446876333,adGroupName 34,trackerName 36,channel 8,campaign 15,creative 21,android,SYEW63723151228123,,
84d63348Le24796af401dbc387832dd9678de,us,2024-01-01 08:33:35.000000 UTC,17.1.1,iphone15promax,FALSE,QRKO19074758967073,adGroupName 35,trackerName 37,channel 4,campaign 16,creative 22,ios,,OLNG86198350375802,QOVI36086076838236
a5563348L876a9a5743ebaaea2719b08936f5,us,2024-01-01 15:55:46.000000 UTC,15.8,iphone7plus,TRUE,DHHE87348012383647,adGroupName 36,trackerName 38,channel 4,campaign 17,creative 23,ios,,,LWBM32948032730223
84d63348Le24796af401dbc387832dd9678de,us,2024-01-01 08:33:35.000000 UTC,17.1.1,iphone15promax,FALSE,QRKO19074758967073,adGroupName 35,trackerName 37,channel 4,campaign 16,creative 22,ios,,OLNG86198350375802,QOVI36086076838236
e2033348Lb60e9dd54d3a84223e5e460f1546,us,2024-01-01 17:18:20.000000 UTC,14.3,iphonexr,FALSE,SGJL01798779866261,adGroupName 37,trackerName 39,channel 4,campaign 17,creative 24,ios,,OBWG32246189011517,LCPD29705532865676
a1023348L4a04793d45458c1267a54044397f,us,2024-01-01 21:32:39.000000 UTC,15.5,ipad(9thgen),TRUE,PXAU08491656801432,adGroupName 38,trackerName 40,channel 9,campaign 18,creative 25,ios,,,LVAR14518717075237
c8f73348L8518305444388d322386385d64c8,us,2024-01-01 23:22:34.000000 UTC,15.8,iphone6s,TRUE,GLYP06383020627728,adGroupName 39,trackerName 41,channel 9,campaign 18,creative 26,ios,,,ZACR47920348844800
4f893348Ld00660434c769e2b9ccc4ecb21df,us,2024-01-01 11:20:54.000000 UTC,16.6,iphonexs,TRUE,GCFY14521415903166,adGroupName 40,trackerName 42,channel 9,campaign 18,creative 26,ios,,,QXAV88285744135151
f4533348L6deb7d4c4da58daee9b4c8a270eb,us,2024-01-01 19:55:31.000000 UTC,16.6,iphone13,TRUE,UHIY40550534024780,adGroupName 41,trackerName 43,channel 9,campaign 18,creative 27,ios,,,YRNZ06490228892887
53523348L828abf9744cb8b4249ff31eea33c,us,2024-01-01 08:52:09.000000 UTC,17.1,iphone15plus,TRUE,NFDR01972641061440,adGroupName 42,trackerName 44,channel 9,campaign 18,creative 28,ios,,,YQYO62180798515733
affd3348L5492477a48ecad7101d29d21ee0c,us,2024-01-01 21:01:26.000000 UTC,17.2,iphone13,TRUE,ODSU30934265667900,adGroupName 43,trackerName 45,channel 9,campaign 18,creative 26,ios,,,DFFE91329796855729
c6ce3348L70d8d85f475abcabbcfeb449d340,us,2024-01-01 02:14:39.000000 UTC,17.2,ipad,TRUE,FHNF44275145085090,adGroupName 44,trackerName 46,channel 9,campaign 18,creative 27,ios,,,ESOY52051974819044
de253348L02906b5a480c90733396a5a08bd5,us,2024-01-01 22:57:01.000000 UTC,15.4.1,iphone11,TRUE,NCKI95021834073096,adGroupName 45,trackerName 47,channel 9,campaign 18,creative 26,ios,,,NBIR37859551476970
28893348Ldd59e8b04095a950da7261c76558,us,2024-01-01 19:44:02.000000 UTC,16.1.1,iphone13,TRUE,IWVA46131388067157,adGroupName 46,trackerName 48,channel 9,campaign 18,creative 27,ios,,,HULY16472242842424
